ptxt_len,create_tag1305_baseline,inlined_create_tag,inlined_parallel_Horner_create_tag,inlined_carry_delay_parallel_Horner,memory_vect_inlined_carry_delay_parallel_Horner,poly1305_create_tag_openssl
1024,19643.3,5045.01,7422.67,5680.56,2991.47,4363.58
2048,39987.7,9904.06,13751.5,9947.61,4217.38,5359.64
4096,76967.2,19254.5,25756.8,18203.9,6630.95,7225.37
8192,150886,38644.3,50077.6,34723.8,11446,11384.6
16384,300035,75582.6,98480,68428.2,21402.2,19125.5
32768,600744,151165,197591,135052,40296,34212.8
65536,1.20996e+06,300321,391038,273680,79982,67947
131072,2.39136e+06,598467,773430,538751,166297,126155
262144,4.7267e+06,1.2035e+06,1.55087e+06,1.10696e+06,329094,249205
524288,9.44633e+06,2.40543e+06,3.09869e+06,2.14657e+06,654528,493126
1048576,1.8893e+07,4.82689e+06,6.15953e+06,4.30088e+06,1.32948e+06,980986
2097152,3.77551e+07,9.61676e+06,1.23906e+07,8.63498e+06,2.61721e+06,1.97298e+06
4194304,7.57473e+07,1.92245e+07,2.49714e+07,1.73036e+07,5.39684e+06,3.95571e+06
8388608,1.51197e+08,3.84837e+07,4.95275e+07,3.46264e+07,1.08249e+07,7.88652e+06
16777216,3.04827e+08,7.69877e+07,9.87555e+07,6.90463e+07,2.16068e+07,1.58839e+07
33554432,6.11386e+08,1.53987e+08,1.97968e+08,1.40201e+08,4.31278e+07,3.1552e+07
67108864,1.21237e+09,3.10526e+08,3.96085e+08,2.76984e+08,8.68571e+07,6.31666e+07
