ptxt_len,aead_encrypt_baseline,aead_encrypt_best_scalar,aead_encrypt_best_vectorized,aead_encrypt_openssl, 
2048,456980,182925,181397,13923.5, 
4096,881011,344961,334982,20078.9, 
8192,1.77028e+06,665222,662510,33671.3, 
16384,3.49476e+06,1.3672e+06,1.34961e+06,62647.7, 
32768,7.21384e+06,2.61196e+06,2.68614e+06,127589, 
65536,1.50133e+07,5.21109e+06,5.07647e+06,213384, 
131072,2.73628e+07,1.027e+07,1.00062e+07,421020, 
262144,5.5046e+07,2.24692e+07,2.02999e+07,826579, 
524288,1.09917e+08,4.10583e+07,4.02512e+07,1.65744e+06, 
1048576,2.19156e+08,8.21035e+07,8.12558e+07,3.27817e+06, 
2097152,4.40723e+08,1.66866e+08,1.75462e+08,6.72146e+06
4194304,8.91058e+08,3.32031e+08,3.22333e+08,1.393e+07, 
8388608,1.75068e+09,6.56486e+08,6.7044e+08,3.16903e+07, 
16777216,3.67749e+09,1.32034e+09,1.29832e+09,5.7017e+07
